agency_name,state,agency_type,agency_website,rfp_url,rfp_hosting,rfp_platform,notes
Waterloo,Indiana,city,https://waterlooin.gov,,not-found,not-found,"single 'Notice of Public Bid' from Sept 2021, not a listing page (A4)"
Frankfort,Indiana,city,https://frankfort-in.gov,,not-found,not-found,no RFP/bid listing page found on the agency's own site
Lawrence,Indiana,city,https://www.cityoflawrence.org,https://www.cityoflawrence.org/procurement/bid-opportunities,self-hosted,self-hosted,found via sitemap.xml; 2 solicitation item(s) on page; CMS: Drupal; verify score 85
Greenwood,Indiana,city,https://www.greenwood.in.gov,,not-found,not-found,no page passed verification; best candidate https://www.greenwood.in.gov/egov/apps/document/center.egov?view=search&eGov_searchType=42 scored 10 (<60)
Spencer,Indiana,city,https://www.spencer.in.gov/,,not-found,not-found,"no RFP/bid listing page found on the agency's own site; blocked: real Chrome also received ""403 Forbidden"" - not circumvented (A6)"
Timothy L Johnson Academy,Indiana,school district,,,not-found,not-found,no agency_website in input; identity could not be anchored and no candidate host self-identified as this agency in Indiana (A9)
North Judson,Indiana,city,https://www.northjudsonin.gov,,not-found,not-found,no RFP/bid listing page found on the agency's own site
Monon,Indiana,city,https://www.townofmonon.com,,not-found,not-found,no RFP/bid listing page found on the agency's own site; blocked:403 https://www.townofmonon.com/wp-sitemap.xml
Fishers,Indiana,city,https://fishersin.gov/,https://fishersin.gov/do-business-here/bids-proposals/,self-hosted,self-hosted,found by probing canonical paths; 1 solicitation item(s) on page; CMS: WordPress; verify score 95
Western Wayne Schools,Indiana,school district,https://www.wwayne.k12.in.us,,not-found,not-found,"notices page carries only tax/budget notices (Notice to Taxpayers, Additional Appropriation) - no solicitations published here"
Roanoke,Indiana,city,https://townofroanoke.com,https://townofroanoke.com/bid-opportunities,self-hosted,self-hosted,"found via sitemap.xml; no open solicitations listed at capture time (page is correct, A8); verify score 85"
East Allen County Schools,Indiana,school district,https://www.eacs.k12.in.us/,,not-found,not-found,no page passed verification; best candidate https://www.eacs.k12.in.us/bids.aspx scored 20 (<60)
Yorktown,Indiana,city,https://www.yorktownindiana.org/,,not-found,not-found,no RFP/bid listing page found on the agency's own site
